
attic,house
basement,house
bath,house
bathroom,house
bed,house
bedroom,house
blanket,house
bookcase,house
carpet,house
ceiling,house
chair,house
closet,house
couch,house
curtain,house
desk,house
door,house
fan,house
floor,house
garage,house
hall,house
hallway,house
key,house
kitchen,house
lamp,house
lock,house
mirror,house
picture,house
porch,house
roof,house
room,house
rug,house
shelf,house
sink,house
sofa,house
stairs,house
table,house
toilet,house
wall,house
window,house



drill,tool
hammer,tool
knife,tool
plane,tool
pliers,tool
saw,tool
scissors,tool
screwdriver,tool
vise,tool
wrench,tool

arm,body
back,body
ears,body
eyes,body
face,body
feet,body
fingers,body
foot,body
hair,body
hands,body
head,body
knees,body
legs,body
mouth,body
neck,body
nose,body
shoulders,body
skin,body
stomach,body
teeth,body
thumbs,body
toes,body
tongue,body
tooth,body
